f_timestamp,f_id,cluster_data,heading,status
2025,228,1,177,STANDING
2025,229,1,177,STANDING
2025,230,1,177,STANDING
2025,231,1,177,STANDING
2025,232,1,177,STANDING
2025,233,1,177,STANDING
2025,234,1,177,STANDING
2025,235,1,177,STANDING
2025,236,1,177,STANDING
2025,237,1,177,STANDING
2025,238,1,177,STANDING
2025,239,1,177,STANDING
2025,240,1,177,STANDING
2025,241,1,177,STANDING
2025,242,1,177,STANDING
2025,243,1,177,STANDING
2025,244,1,177,STANDING
2025,245,1,177,STANDING
2025,246,1,177,STANDING
2025,247,1,177,STANDING
2025,248,1,177,STANDING
2025,249,1,177,STANDING
2025,250,1,177,STANDING
2025,251,1,177,STANDING
2025,252,1,177,STANDING
2025,253,1,177,STANDING
2025,254,1,177,STANDING
2025,255,1,177,STANDING
2025,256,1,177,STANDING
2025,257,1,177,STANDING
2025,258,1,177,STANDING
2025,259,1,177,STANDING
2025,260,1,177,STANDING
2025,261,1,177,STANDING
2025,262,1,177,STANDING
2025,263,1,177,STANDING
2025,264,1,177,STANDING
2025,265,1,177,STANDING
2025,266,1,177,STANDING
2025,267,1,177,STANDING
2025,268,1,177,STANDING
2025,269,1,177,STANDING
2025,270,1,177,STANDING
2025,271,1,177,STANDING
2025,272,1,177,STANDING
2025,273,1,177,STANDING
2025,274,1,177,STANDING
2025,275,1,177,STANDING
2025,276,1,177,STANDING
2025,277,1,177,STANDING
2025,278,1,177,STANDING
2025,279,1,177,STANDING
2025,280,1,177,STANDING
2025,281,1,177,STANDING
2025,282,1,177,STANDING
2025,283,1,177,STANDING
2025,284,1,177,STANDING
2025,285,1,177,STANDING
2025,286,1,177,STANDING
2025,287,1,177,STANDING
2025,288,1,177,STANDING
2025,289,1,177,STANDING
2025,290,1,177,STANDING
2025,291,1,177,STANDING
2025,292,1,177,STANDING
2025,293,1,177,STANDING
2025,294,1,177,STANDING
2025,295,1,177,STANDING
2025,296,1,177,STANDING
2025,297,1,177,STANDING
2025,298,1,177,STANDING
2025,299,1,177,STANDING
2025,300,1,177,STANDING
2025,301,1,177,STANDING
2025,302,1,177,STANDING
2025,303,1,177,STANDING
2025,304,1,177,STANDING
2025,305,1,177,STANDING
2025,306,1,177,STANDING
2025,307,1,177,STANDING
2025,308,1,177,STANDING
2025,309,1,177,STANDING
2025,310,1,177,STANDING
2025,311,1,177,STANDING
2025,312,1,177,STANDING
2025,313,1,177,STANDING
2025,314,1,177,STANDING
2025,315,1,177,STANDING
2025,316,1,177,STANDING
2025,317,1,177,STANDING
2025,318,1,177,STANDING
2025,319,1,177,STANDING
2025,320,1,177,STANDING
2025,321,1,177,STANDING
2025,322,1,177,STANDING
2025,323,1,177,STANDING
2025,324,1,177,STANDING
2025,325,1,177,STANDING
2025,326,1,177,STANDING
2025,327,1,177,STANDING
2025,328,1,177,STANDING
2025,329,1,177,STANDING
2025,330,1,177,STANDING
2025,331,1,177,STANDING
2025,332,1,177,STANDING
2025,333,1,177,STANDING
2025,334,1,177,STANDING
2025,335,1,177,STANDING
2025,336,1,177,STANDING
2025,337,1,177,STANDING
2025,338,1,177,STANDING
2025,339,1,177,STANDING
2025,340,1,177,STANDING
2025,341,1,177,STANDING
2025,342,1,177,STANDING
2025,343,1,177,STANDING
2025,344,1,177,STANDING
2025,345,1,177,STANDING
2025,346,1,177,STANDING
2025,347,1,177,STANDING
2025,348,1,177,STANDING
2025,349,1,177,STANDING
2025,350,1,177,STANDING
2025,351,1,177,STANDING
2025,352,1,177,STANDING
2025,353,1,177,STANDING
2025,354,1,177,STANDING
2025,355,1,177,STANDING
2025,356,1,177,STANDING
2025,357,1,177,STANDING
2025,358,1,177,STANDING
2025,359,1,177,STANDING
2025,360,1,177,STANDING
2025,361,1,177,STANDING
2025,362,1,177,STANDING
2025,363,1,177,STANDING
2025,364,1,177,STANDING
2025,365,1,177,STANDING
2025,366,1,177,STANDING
2025,367,1,177,STANDING
2025,368,1,177,STANDING
2025,369,1,177,STANDING
2025,370,1,177,STANDING
2025,371,1,177,STANDING
2025,372,1,177,STANDING
2025,373,1,177,STANDING
2025,374,1,177,STANDING
2025,375,1,177,STANDING
2025,376,1,177,STANDING
2025,377,1,177,STANDING
2025,378,1,177,STANDING
2025,379,1,177,STANDING
2025,380,1,177,STANDING
2025,381,1,177,STANDING
2025,382,1,177,STANDING
2025,383,1,177,STANDING
2025,384,1,177,STANDING
2025,385,1,177,STANDING
2025,386,1,177,STANDING
2025,387,1,177,STANDING
2025,388,1,177,STANDING
2025,389,1,177,STANDING
2025,390,1,177,STANDING
2025,391,1,177,STANDING
2025,392,1,177,STANDING
2025,393,1,177,STANDING
2025,394,1,177,STANDING
2025,395,1,177,STANDING
2025,396,1,177,STANDING
2025,397,1,177,STANDING
2025,398,1,177,STANDING
2025,399,1,177,STANDING
2025,400,1,177,STANDING
2025,401,1,177,STANDING
2025,402,1,177,STANDING
2025,403,1,177,STANDING
2025,404,1,177,STANDING
2025,405,1,177,STANDING
2025,406,1,177,STANDING
2025,407,1,177,STANDING
2025,408,1,177,STANDING
2025,409,1,177,STANDING
2025,410,1,177,STANDING
2025,411,1,177,STANDING
2025,412,1,177,STANDING
2025,413,1,177,STANDING
2025,414,1,177,STANDING
